Facility ID,Excess Readmission Ratio,Number of Readmissions,Number of Discharges,Readmission Rate
10035,1.0465,68.0,417.0,16.30695443645084
10035,1.0458,25.0,120.0,20.833333333333336
10036,1.0138,24.0,144.0,16.666666666666664
10036,0.0,0.0,0.0,
10036,1.2033,,0.0,
10036,0.0,0.0,0.0,
10036,1.0267,37.0,159.0,23.270440251572328
10036,0.9661,,0.0,
10039,0.8656,18.0,267.0,6.741573033707865
10039,1.2959,14.0,168.0,8.333333333333332
10039,0.9251,65.0,624.0,10.416666666666668
10039,1.0004,74.0,426.0,17.370892018779344
10039,0.9728,200.0,1340.0,14.925373134328357
10039,0.9752,241.0,1270.0,18.976377952755904
10040,0.9714,37.0,235.0,15.74468085106383
10040,0.9817,17.0,132.0,12.878787878787879
10040,0.9818,49.0,235.0,20.851063829787233
10040,1.0777,,0.0,
10040,0.9886,17.0,97.0,17.525773195876287
10040,1.0242,,0.0,
10044,0.0,0.0,0.0,
10044,0.9562,,0.0,
10044,0.0,0.0,0.0,
10044,0.9492,,0.0,
10044,0.0,0.0,0.0,
10044,0.0,0.0,0.0,
10045,0.9855,,0.0,
10045,0.0,0.0,0.0,
10045,0.0,0.0,0.0,
10045,0.9883,,0.0,
10045,1.0488,,0.0,
10045,0.0,0.0,0.0,
10046,1.0925,75.0,284.0,26.408450704225352
10046,0.0,0.0,0.0,
10046,1.048,23.0,103.0,22.330097087378643
10046,0.0,0.0,0.0,
10046,0.9659,,0.0,
10046,1.0904,58.0,277.0,20.938628158844764
10049,1.0285,21.0,102.0,20.588235294117645
10049,0.89,,0.0,
10049,0.0,0.0,0.0,
10049,1.0465,26.0,152.0,17.105263157894736
10049,1.0438,13.0,59.0,22.033898305084744
10049,0.0,0.0,0.0,
10051,0.0,0.0,0.0,
10051,0.0,0.0,0.0,
10051,0.0,0.0,0.0,
10051,0.0,0.0,0.0,
10051,0.0,0.0,0.0,
10051,0.0,0.0,0.0,
10052,0.0,0.0,0.0,
10052,0.0,0.0,0.0,
10052,1.0435,,0.0,
10052,0.0,0.0,0.0,
10052,0.0,0.0,0.0,
10052,0.0,0.0,0.0,
10055,1.0004,47.0,305.0,15.40983606557377
10055,1.1755,16.0,84.0,19.047619047619047
10055,1.2633,,0.0,
10055,0.9486,20.0,126.0,15.873015873015872
10055,0.9641,57.0,325.0,17.53846153846154
10055,1.0867,38.0,263.0,14.44866920152091
10056,1.0215,20.0,150.0,13.333333333333334
10056,1.037,68.0,405.0,16.790123456790123
10056,1.1313,16.0,96.0,16.666666666666664
10056,0.9213,,0.0,
10056,0.9772,12.0,82.0,14.634146341463413
10056,0.9489,78.0,439.0,17.76765375854214
10058,0.0,0.0,0.0,
10058,0.9402,,0.0,
10058,0.0,0.0,0.0,
10058,0.0,0.0,0.0,
10058,0.0,0.0,0.0,
10058,0.0,0.0,0.0,
10059,0.0,0.0,0.0,
10059,0.0,0.0,0.0,
10059,0.0,0.0,0.0,
10059,0.9772,,0.0,
10059,0.0,0.0,0.0,
10059,0.0,0.0,0.0,
10061,0.9658,15.0,115.0,13.043478260869565
10061,0.0,0.0,0.0,
10061,0.9393,,0.0,
10061,0.998,,0.0,
10061,0.0,0.0,0.0,
10061,0.0,0.0,0.0,
10062,0.0,0.0,0.0,
10062,0.0,0.0,0.0,
10062,0.9722,,0.0,
10062,0.0,0.0,0.0,
10062,0.0,0.0,0.0,
10062,0.0,0.0,0.0,
10065,0.9314,,0.0,
10065,1.0115,,0.0,
10065,1.0035,,0.0,
10065,0.0,0.0,0.0,
10065,0.9604,15.0,94.0,15.957446808510639
10065,0.8537,,0.0,
10069,0.0,0.0,0.0,
10069,1.0252,,0.0,
10069,0.9433,,0.0,
10069,0.0,0.0,0.0,
10069,0.0,0.0,0.0,
10069,0.0,0.0,0.0,
10073,0.9695,,0.0,
10073,0.0,0.0,0.0,
10073,0.0,0.0,0.0,
10073,0.0,0.0,0.0,
10073,0.0,0.0,0.0,
10073,0.0,0.0,0.0,
10078,1.035,67.0,311.0,21.54340836012862
10078,1.1409,40.0,196.0,20.408163265306122
10078,0.9644,41.0,270.0,15.185185185185185
10078,0.0,0.0,0.0,
10078,1.2908,13.0,177.0,7.344632768361582
10078,0.8528,22.0,190.0,11.578947368421053
10079,0.9989,29.0,151.0,19.205298013245034
10079,0.0,0.0,0.0,
10079,1.061,,0.0,
10079,1.0135,20.0,105.0,19.047619047619047
10079,1.0464,30.0,179.0,16.75977653631285
10079,0.0,0.0,0.0,
10083,0.0,0.0,0.0,
10083,1.1909,,0.0,
10083,1.0014,54.0,277.0,19.494584837545126
10083,0.984,39.0,262.0,14.885496183206106
10083,0.9495,16.0,116.0,13.793103448275861
10083,1.018,15.0,113.0,13.274336283185843
10085,1.1523,,0.0,
10085,0.0,0.0,0.0,
10085,0.9726,64.0,440.0,14.545454545454545
10085,0.9652,72.0,399.0,18.045112781954884
10085,1.0403,26.0,139.0,18.705035971223023
10085,0.9633,,0.0,
10086,0.0,0.0,0.0,
10086,0.9898,,0.0,
10086,0.0,0.0,0.0,
10086,0.925,,0.0,
10086,0.9167,,0.0,
10086,0.0,0.0,0.0,
10087,0.0,0.0,0.0,
10087,0.0,0.0,0.0,
10087,0.9903,,0.0,
10087,0.9676,,0.0,
10087,0.0,0.0,0.0,
10087,1.0023,,0.0,
10089,0.0,0.0,0.0,
10089,0.0,0.0,0.0,
10089,1.0075,16.0,87.0,18.39080459770115
10089,0.0,0.0,0.0,
10089,0.9149,16.0,155.0,10.32258064516129
10089,1.0249,31.0,154.0,20.12987012987013
10090,0.9585,,0.0,
10090,1.0685,23.0,154.0,14.935064935064934
10090,0.9523,12.0,96.0,12.5
10090,0.997,,0.0,
10090,0.9687,61.0,341.0,17.888563049853374
10090,1.1009,56.0,285.0,19.649122807017545
10091,0.0,0.0,0.0,
10091,0.0,0.0,0.0,
10091,0.0,0.0,0.0,
10091,0.0,0.0,0.0,
10091,0.0,0.0,0.0,
10091,0.0,0.0,0.0,
10092,1.1877,,0.0,
10092,1.0061,,0.0,
10092,1.0291,23.0,173.0,13.294797687861271
10092,0.9813,125.0,681.0,18.355359765051396
10092,1.1361,73.0,312.0,23.397435897435898
10092,1.1388,118.0,604.0,19.5364238410596
10095,0.0,0.0,0.0,
10095,0.0,0.0,0.0,
10095,0.0,0.0,0.0,
10095,0.0,0.0,0.0,
10095,0.0,0.0,0.0,
10095,0.0,0.0,0.0,
10097,0.0,0.0,0.0,
10097,0.0,0.0,0.0,
10097,1.0172,,0.0,
10097,0.0,0.0,0.0,
10097,0.0,0.0,0.0,
10097,0.0,0.0,0.0,
10099,0.0,0.0,0.0,
10099,0.0,0.0,0.0,
10099,0.993,,0.0,
10099,0.9716,,0.0,
10099,0.0,0.0,0.0,
10099,0.0,0.0,0.0,
10100,0.9432,18.0,202.0,8.91089108910891
10100,0.8863,,0.0,
10100,1.0643,58.0,342.0,16.95906432748538
10100,1.0359,69.0,334.0,20.65868263473054
10100,1.063,19.0,79.0,24.050632911392405
10100,0.9548,13.0,140.0,9.285714285714286
10101,0.0,0.0,0.0,
10101,1.1244,17.0,56.0,30.357142857142854
10101,1.0714,15.0,50.0,30.0
10101,0.0,0.0,0.0,
10101,0.0,0.0,0.0,
10101,0.0,0.0,0.0,
10102,0.0,0.0,0.0,
10102,0.0,0.0,0.0,
10102,0.0,0.0,0.0,
10102,0.0,0.0,0.0,
10102,0.0,0.0,0.0,
10102,0.0,0.0,0.0,
10103,1.0055,18.0,121.0,14.87603305785124
10103,0.9504,38.0,218.0,17.431192660550458
10103,0.9694,,0.0,
10103,0.9928,,0.0,
10103,0.9766,16.0,103.0,15.53398058252427
10103,1.0605,,0.0,
10104,1.004,29.0,154.0,18.83116883116883
10104,0.9621,51.0,341.0,14.95601173020528
10104,1.1821,20.0,112.0,17.857142857142858
10104,1.0208,125.0,598.0,20.903010033444815
10104,1.0593,33.0,207.0,15.942028985507244
10104,1.0159,18.0,385.0,4.675324675324675
10108,0.0,0.0,0.0,
10108,0.0,0.0,0.0,
10108,0.925,15.0,142.0,10.56338028169014
10108,1.0382,34.0,157.0,21.656050955414013
10108,0.9658,13.0,88.0,14.772727272727273
10108,0.0,0.0,0.0,
10110,0.0,0.0,0.0,
10110,0.0,0.0,0.0,
10110,0.0,0.0,0.0,
10110,0.0,0.0,0.0,
10110,0.0,0.0,0.0,
10110,0.0,0.0,0.0,
10112,0.9343,,0.0,
10112,0.982,12.0,66.0,18.181818181818183
10112,0.0,0.0,0.0,
10112,0.0,0.0,0.0,
10112,0.0,0.0,0.0,
10112,0.0,0.0,0.0,
10113,1.1177,,0.0,
10113,1.0694,33.0,146.0,22.602739726027394
10113,0.9485,57.0,393.0,14.50381679389313
10113,0.9835,77.0,392.0,19.642857142857142
10113,1.0816,27.0,157.0,17.197452229299362
10113,0.9279,,0.0,
10114,0.9338,14.0,98.0,14.285714285714285
10114,1.0069,24.0,153.0,15.686274509803921
10114,0.0,0.0,0.0,
10114,0.9697,,0.0,
10114,0.0,0.0,0.0,
10114,0.0,0.0,0.0,
10118,1.0289,21.0,113.0,18.58407079646018
10118,0.0,0.0,0.0,
10118,0.0,0.0,0.0,
10118,0.9633,,0.0,
10118,0.0,0.0,0.0,
10118,0.9398,,0.0,
10120,0.0,0.0,0.0,
10120,0.0,0.0,0.0,
10120,0.9913,,0.0,
10120,0.0,0.0,0.0,
10120,1.0142,,0.0,
10120,0.0,0.0,0.0,
10125,0.0,0.0,0.0,
10125,0.9691,33.0,280.0,11.785714285714285
10125,0.0,0.0,0.0,
10125,0.9396,,0.0,
10125,0.9998,,0.0,
10125,0.0,0.0,0.0,
10126,0.0,0.0,0.0,
10126,1.0148,,0.0,
10126,1.0713,12.0,40.0,30.0
10126,0.0,0.0,0.0,
10126,0.0,0.0,0.0,
10126,0.0,0.0,0.0,
10128,1.0242,,0.0,
10128,1.0057,,0.0,
10128,0.0,0.0,0.0,
10128,0.0,0.0,0.0,
10128,0.0,0.0,0.0,
10128,0.0,0.0,0.0,
10129,0.0,0.0,0.0,
10129,0.0,0.0,0.0,
10129,0.0,0.0,0.0,
10129,1.1074,14.0,47.0,29.78723404255319
10129,0.9521,,0.0,
10129,0.0,0.0,0.0,
10130,0.0,0.0,0.0,
10130,0.0,0.0,0.0,
10130,0.9861,,0.0,
10130,1.0309,21.0,127.0,16.535433070866144
10130,0.9977,11.0,66.0,16.666666666666664
10130,0.0,0.0,0.0,
10131,0.9839,,0.0,
10131,1.0566,58.0,346.0,16.76300578034682
10131,1.0574,61.0,278.0,21.942446043165468
10131,1.0147,16.0,91.0,17.582417582417584
10131,0.0,0.0,0.0,
10131,1.0767,23.0,138.0,16.666666666666664
10138,0.0,0.0,0.0,
10138,0.0,0.0,0.0,
10138,0.0,0.0,0.0,
10138,0.0,0.0,0.0,
10138,0.0,0.0,0.0,
10138,0.0,0.0,0.0,
10139,1.0068,12.0,87.0,13.793103448275861
10139,0.0,0.0,0.0,
10139,1.0121,27.0,169.0,15.976331360946746
10139,1.0234,30.0,142.0,21.12676056338028
10139,0.9809,,0.0,
10139,0.9585,,0.0,
10144,1.0617,17.0,80.0,21.25
10144,1.0317,32.0,185.0,17.2972972972973
10144,0.9707,46.0,250.0,18.4
10144,0.9914,,0.0,
10144,1.04,,0.0,
10144,1.0428,,0.0,
10148,0.0,0.0,0.0,
10148,0.0,0.0,0.0,
10148,0.9943,11.0,90.0,12.222222222222221
10148,1.0356,12.0,62.0,19.35483870967742
10148,0.9766,,0.0,
10148,0.0,0.0,0.0,
10149,0.0,0.0,0.0,
10149,0.0,0.0,0.0,
10149,1.0643,38.0,203.0,18.7192118226601
10149,0.9357,,0.0,
10149,1.039,54.0,261.0,20.689655172413794
10149,0.0,0.0,0.0,
10150,0.9832,,0.0,
10150,0.0,0.0,0.0,
10150,0.0,0.0,0.0,
10150,0.0,0.0,0.0,
10150,0.0,0.0,0.0,
10150,0.0,0.0,0.0,
10157,0.0,0.0,0.0,
10157,0.0,0.0,0.0,
10157,0.0,0.0,0.0,
10157,0.0,0.0,0.0,
10157,0.0,0.0,0.0,
10157,0.0,0.0,0.0,
10158,0.0,0.0,0.0,
10158,1.2367,,0.0,
10158,0.0,0.0,0.0,
10158,1.0351,16.0,92.0,17.391304347826086
10158,0.9592,,0.0,
10158,0.0,0.0,0.0,
10164,1.0679,18.0,88.0,20.454545454545457
10164,0.0,0.0,0.0,
10164,1.0049,14.0,80.0,17.5
10164,0.0,0.0,0.0,
10164,0.9639,,0.0,
10164,0.0,0.0,0.0,
10168,0.0,0.0,0.0,
10168,0.9706,18.0,460.0,3.91304347826087
10168,0.0,0.0,0.0,
10168,0.0,0.0,0.0,
10168,0.0,0.0,0.0,
10168,0.0,0.0,0.0,
10169,0.0,0.0,0.0,
10169,0.0,0.0,0.0,
10169,0.0,0.0,0.0,
10169,0.9784,,0.0,
10169,1.082,14.0,46.0,30.434782608695656
10169,0.0,0.0,0.0,
10173,0.9545,,0.0,
10173,0.0,0.0,0.0,
10173,0.0,0.0,0.0,
10173,0.0,0.0,0.0,
10173,0.0,0.0,0.0,
10173,0.0,0.0,0.0,
10174,0.0,0.0,0.0,
10174,0.0,0.0,0.0,
10174,0.0,0.0,0.0,
10174,0.0,0.0,0.0,
10174,0.0,0.0,0.0,
10174,0.0,0.0,0.0,
10175,0.9738,,0.0,
10175,0.0,0.0,0.0,
10175,0.0,0.0,0.0,
10175,0.0,0.0,0.0,
10175,0.0,0.0,0.0,
10175,0.0,0.0,0.0,
20001,0.8862,,0.0,
20001,0.9224,19.0,134.0,14.17910447761194
20001,1.0138,33.0,211.0,15.639810426540285
20001,0.8824,70.0,463.0,15.118790496760258
20001,0.8554,38.0,442.0,8.597285067873303
20001,1.1568,,0.0,
20006,1.344,,0.0,
20006,0.9206,36.0,272.0,13.23529411764706
20006,0.941,40.0,233.0,17.167381974248926
20006,0.9378,13.0,96.0,13.541666666666666
20006,0.0,0.0,0.0,
20006,1.0116,20.0,150.0,13.333333333333334
20008,0.9945,,0.0,
20008,0.0,0.0,0.0,
20008,0.9226,,0.0,
20008,1.0317,,0.0,
20008,1.0502,14.0,58.0,24.137931034482758
20008,0.0,0.0,0.0,
20012,0.9422,11.0,111.0,9.90990990990991
20012,0.8547,,0.0,
20012,0.9501,,0.0,
20012,0.8958,,0.0,
20012,0.9882,,0.0,
20012,0.0,0.0,0.0,
20017,1.0241,18.0,142.0,12.676056338028168
20017,1.0598,47.0,212.0,22.169811320754718
20017,1.1081,41.0,200.0,20.5
20017,1.02,,0.0,
20017,1.1236,21.0,71.0,29.577464788732392
20017,1.0117,21.0,530.0,3.9622641509433962
20018,0.9288,,0.0,
20018,0.9731,,0.0,
20018,0.0,0.0,0.0,
20018,0.0,0.0,0.0,
20018,0.0,0.0,0.0,
20018,0.0,0.0,0.0,
20024,1.108,26.0,96.0,27.083333333333332
20024,1.138,47.0,179.0,26.256983240223462
20024,0.0,0.0,0.0,
20024,1.0657,26.0,135.0,19.25925925925926
20024,0.0,0.0,0.0,
20024,0.8268,,0.0,
20026,0.9345,,0.0,
20026,0.9269,16.0,152.0,10.526315789473683
20026,0.0,0.0,0.0,
20026,1.0106,27.0,144.0,18.75
20026,0.9397,,0.0,
20026,0.8435,,0.0,
30002,0.9052,,0.0,
30002,0.9896,61.0,294.0,20.74829931972789
30002,0.9553,,0.0,
30002,0.0,0.0,0.0,
30002,0.9925,41.0,240.0,17.083333333333332
30002,0.8549,,0.0,
30006,1.1036,137.0,652.0,21.012269938650306
30006,1.0359,90.0,560.0,16.071428571428573
30006,0.9611,25.0,167.0,14.97005988023952
30006,1.008,11.0,114.0,9.649122807017543
30006,1.0035,11.0,251.0,4.382470119521913
30006,1.214,49.0,282.0,17.375886524822697
30007,0.9767,11.0,99.0,11.11111111111111
30007,0.0,0.0,0.0,
30007,0.9134,,0.0,
30007,0.0,0.0,0.0,
30007,0.8972,21.0,218.0,9.63302752293578
30007,0.8627,21.0,183.0,11.475409836065573
30010,0.9513,29.0,189.0,15.343915343915343
30010,1.0173,,0.0,
30010,0.9531,24.0,191.0,12.56544502617801
30010,1.031,,0.0,
30010,0.0,0.0,0.0,
30010,0.976,21.0,178.0,11.797752808988763
30011,0.942,25.0,213.0,11.737089201877934
30011,0.0,0.0,0.0,
30011,0.921,,0.0,
30011,1.1089,44.0,183.0,24.043715846994534
30011,0.9803,16.0,140.0,11.428571428571429
30011,0.9464,,0.0,
30012,1.0222,84.0,587.0,14.310051107325384
30012,1.004,30.0,192.0,15.625
30012,1.0429,88.0,454.0,19.383259911894275
30012,0.8362,,0.0,
30012,1.0166,12.0,120.0,10.0
30012,0.8237,29.0,418.0,6.937799043062201
30013,0.9965,91.0,586.0,15.529010238907851
30013,1.0458,,0.0,
30013,0.9732,24.0,157.0,15.286624203821656
30013,1.1592,137.0,583.0,23.499142367066895
30013,0.9563,,0.0,
30013,0.957,39.0,318.0,12.264150943396226
30014,0.0,0.0,0.0,
30014,1.0404,49.0,240.0,20.416666666666668
30014,0.9,,0.0,
30014,0.9099,,0.0,
30014,0.9301,35.0,276.0,12.681159420289855
30014,1.0527,16.0,105.0,15.238095238095239
30016,0.9549,30.0,188.0,15.957446808510639
30016,1.0456,48.0,286.0,16.783216783216783
30016,1.0802,13.0,56.0,23.214285714285715
30016,1.0126,,0.0,
30016,0.0,0.0,0.0,
30016,0.0,0.0,0.0,
30022,0.0,0.0,0.0,
30022,1.0781,15.0,45.0,33.33333333333333
30022,0.0,0.0,0.0,
30022,1.0164,,0.0,
30022,0.0,0.0,0.0,
30022,0.0,0.0,0.0,
30023,0.8826,,0.0,
30023,0.9567,52.0,295.0,17.627118644067796
30023,0.9789,,0.0,
30023,1.0103,32.0,203.0,15.763546798029557
30023,1.1026,11.0,74.0,14.864864864864865
30023,0.9806,16.0,154.0,10.38961038961039
30024,0.0,0.0,0.0,
30024,0.9495,40.0,223.0,17.937219730941703
30024,1.0128,17.0,102.0,16.666666666666664
30024,1.0268,41.0,245.0,16.73469387755102
30024,1.0417,25.0,166.0,15.060240963855422
30024,1.0859,,0.0,
30030,0.9957,12.0,82.0,14.634146341463413
30030,0.0,0.0,0.0,
30030,0.9791,,0.0,
30030,0.0,0.0,0.0,
30030,1.0001,,0.0,
30030,0.0,0.0,0.0,
30036,0.0,0.0,0.0,
30036,0.9048,104.0,626.0,16.61341853035144
30036,0.9669,25.0,151.0,16.55629139072848
30036,1.0038,45.0,349.0,12.893982808022923
30036,0.9248,98.0,674.0,14.540059347181009
30036,1.0674,20.0,165.0,12.121212121212121
30037,0.0,0.0,0.0,
30037,0.0,0.0,0.0,
30037,1.0323,,0.0,
30037,0.0,0.0,0.0,
30037,0.0,0.0,0.0,
30037,0.0,0.0,0.0,
30038,1.0358,,0.0,
30038,1.1366,81.0,344.0,23.546511627906977
30038,1.0009,17.0,100.0,17.0
30038,0.9828,15.0,128.0,11.71875
30038,0.0,0.0,0.0,
30038,0.9689,55.0,383.0,14.360313315926893
30043,1.0368,33.0,166.0,19.879518072289155
30043,1.1055,,0.0,
30043,1.0089,13.0,80.0,16.25
30043,0.9573,34.0,273.0,12.454212454212454
30043,1.0461,14.0,107.0,13.084112149532709
30043,0.0,0.0,0.0,
30055,0.9838,51.0,350.0,14.571428571428571
30055,1.1767,,0.0,
30055,0.9202,,0.0,
30055,1.0161,56.0,269.0,20.817843866171003
30055,0.9142,,0.0,
30055,0.0,0.0,0.0,
30061,1.0578,156.0,725.0,21.517241379310345
30061,0.9526,26.0,186.0,13.978494623655912
30061,0.922,,0.0,
30061,1.029,154.0,916.0,16.812227074235807
30061,1.05,21.0,170.0,12.352941176470589
30061,1.0527,36.0,242.0,14.87603305785124
30062,0.0,0.0,0.0,
30062,0.9914,31.0,172.0,18.023255813953487
30062,0.9261,,0.0,
30062,0.955,26.0,225.0,11.555555555555555
30062,1.0197,,0.0,
30062,0.0,0.0,0.0,
30064,0.9717,48.0,294.0,16.3265306122449
30064,0.0,0.0,0.0,
30064,0.9446,37.0,211.0,17.535545023696685
30064,0.9922,,0.0,
30064,1.0195,18.0,129.0,13.953488372093023
30064,0.9125,,0.0,
30065,0.0,0.0,0.0,
30065,1.1253,115.0,586.0,19.624573378839592
30065,1.0655,74.0,348.0,21.26436781609195
30065,0.97,22.0,133.0,16.541353383458645
30065,1.0406,28.0,207.0,13.526570048309178
30065,0.9894,,0.0,
30069,0.9585,,0.0,
30069,0.9884,20.0,124.0,16.129032258064516
30069,0.978,25.0,210.0,11.904761904761903
30069,0.9663,43.0,313.0,13.738019169329075
30069,1.0098,54.0,281.0,19.217081850533805
30069,0.9982,11.0,83.0,13.253012048192772
30071,1.075,12.0,61.0,19.672131147540984
30071,0.0,0.0,0.0,
30071,0.0,0.0,0.0,
30071,0.0,0.0,0.0,
30071,1.048,11.0,44.0,25.0
30071,0.0,0.0,0.0,
30073,0.0,0.0,0.0,
30073,0.0,0.0,0.0,
30073,0.0,0.0,0.0,
30073,0.9911,,0.0,
30073,0.0,0.0,0.0,
30073,0.0,0.0,0.0,
30074,0.0,0.0,0.0,
30074,0.0,0.0,0.0,
30074,0.0,0.0,0.0,
30074,0.0,0.0,0.0,
30074,0.0,0.0,0.0,
30074,0.0,0.0,0.0,
30078,0.0,0.0,0.0,
30078,0.0,0.0,0.0,
30078,0.0,0.0,0.0,
30078,0.0,0.0,0.0,
30078,0.0,0.0,0.0,
30078,0.0,0.0,0.0,
30083,1.0244,23.0,138.0,16.666666666666664
30083,0.9874,11.0,65.0,16.923076923076923
30083,0.9446,,0.0,
30083,0.0,0.0,0.0,
30083,0.0,0.0,0.0,
30083,0.0,0.0,0.0,
30084,0.0,0.0,0.0,
30084,1.039,,0.0,
30084,0.0,0.0,0.0,
30084,1.0012,,0.0,
30084,0.0,0.0,0.0,
30084,0.0,0.0,0.0,
30085,0.0,0.0,0.0,
30085,0.9621,68.0,412.0,16.50485436893204
30085,1.0718,22.0,102.0,21.568627450980394
30085,0.8625,14.0,222.0,6.306306306306306
30085,0.9734,46.0,318.0,14.465408805031446
30085,1.0152,,0.0,
30087,1.0512,11.0,229.0,4.8034934497816595
30087,1.0505,22.0,111.0,19.81981981981982
30087,1.0236,135.0,692.0,19.508670520231213
30087,1.1182,114.0,631.0,18.066561014263076
30087,0.9983,35.0,286.0,12.237762237762238
30087,1.1415,16.0,119.0,13.445378151260504
30088,0.0,0.0,0.0,
30088,1.01,74.0,384.0,19.270833333333336
30088,0.9227,17.0,143.0,11.888111888111888
30088,0.0,0.0,0.0,
30088,0.0,0.0,0.0,
30088,0.9217,109.0,779.0,13.992297817715018
30089,0.8937,63.0,388.0,16.237113402061855
30089,0.0,0.0,0.0,
30089,1.0225,24.0,126.0,19.047619047619047
30089,1.0074,20.0,153.0,13.071895424836603
30089,1.0334,,0.0,
30089,1.0151,96.0,561.0,17.11229946524064
30092,1.0618,66.0,309.0,21.35922330097087
30092,0.9474,,0.0,
30092,0.997,12.0,71.0,16.901408450704224
30092,1.0103,52.0,323.0,16.09907120743034
30092,1.0543,,0.0,
30092,1.0112,19.0,153.0,12.418300653594772
30093,0.8951,,0.0,
30093,0.9135,124.0,742.0,16.711590296495956
30093,0.9428,30.0,210.0,14.285714285714285
30093,1.0004,166.0,1073.0,15.470643056849953
30093,1.0855,39.0,271.0,14.391143911439114
30093,0.0,0.0,0.0,
30094,1.0208,,0.0,
30094,1.0169,91.0,458.0,19.868995633187772
30094,1.0329,16.0,78.0,20.51282051282051
30094,1.005,53.0,338.0,15.680473372781064
30094,1.1148,50.0,316.0,15.822784810126583
30094,1.002,14.0,145.0,9.655172413793103
30101,0.0,0.0,0.0,
30101,0.9134,26.0,180.0,14.444444444444443
